GFMD initialization...
Number of processors used    : 1
Total number of GF atoms     : 1152
Extra load added to GF atoms : -0.01

Original positions of GF atoms determined from initial configuraiton!

Mapping info computed from initial configuration.
Total # of atoms in manifold : 1152
Surface vector along U       : [ 4.42745, 0 ]
Surface vector along V       : [ 0, 2.55619 ]
# of atoms per unit cell     : 2
Dimensions of the FFT mesh   : 18 x 32

Manifold to FFT mesh mapping information:
# nx ny nucell
 18 32 2
# ix iy iu atom_id
5 25 0 186
5 25 1 762
5 26 0 187
5 26 1 763
5 27 0 188
5 27 1 764
5 28 0 189
5 28 1 765
5 29 0 190
5 29 1 766
5 30 0 191
5 30 1 767
5 31 0 192
5 31 1 768
6 0 0 193
6 0 1 769
6 1 0 194
6 1 1 770
6 2 0 195
6 2 1 771
6 3 0 196
6 3 1 772
6 4 0 197
6 4 1 773
6 5 0 198
6 5 1 774
6 6 0 199
6 6 1 775
6 7 0 200
6 7 1 776
6 8 0 201
6 8 1 777
6 9 0 202
6 9 1 778
6 10 0 203
6 10 1 779
6 11 0 204
6 11 1 780
6 12 0 205
6 12 1 781
6 13 0 206
6 13 1 782
6 14 0 207
6 14 1 783
6 15 0 208
6 15 1 784
6 16 0 209
6 16 1 785
6 17 0 210
6 17 1 786
6 18 0 211
6 18 1 787
6 19 0 212
6 19 1 788
6 20 0 213
6 20 1 789
6 21 0 214
6 21 1 790
6 22 0 215
6 22 1 791
6 23 0 216
6 23 1 792
6 24 0 217
6 24 1 793
6 25 0 218
6 25 1 794
6 26 0 219
6 26 1 795
6 27 0 220
6 27 1 796
6 28 0 221
6 28 1 797
6 29 0 222
6 29 1 798
6 30 0 223
6 30 1 799
6 31 0 224
6 31 1 800
7 0 0 225
7 0 1 801
7 1 0 226
7 1 1 802
7 2 0 227
7 2 1 803
7 3 0 228
7 3 1 804
7 4 0 229
7 4 1 805
7 5 0 230
7 5 1 806
7 6 0 231
7 6 1 807
7 7 0 232
7 7 1 808
7 8 0 233
7 8 1 809
7 9 0 234
7 9 1 810
7 10 0 235
7 10 1 811
7 11 0 236
7 11 1 812
7 12 0 237
7 12 1 813
7 13 0 238
7 13 1 814
7 14 0 239
7 14 1 815
7 15 0 240
7 15 1 816
7 16 0 241
7 16 1 817
7 17 0 242
7 17 1 818
7 18 0 243
7 18 1 819
7 19 0 244
7 19 1 820
7 20 0 245
7 20 1 821
7 21 0 246
7 21 1 822
7 22 0 247
7 22 1 823
7 23 0 248
7 23 1 824
7 24 0 249
7 24 1 825
7 25 0 250
7 25 1 826
7 26 0 251
7 26 1 827
7 27 0 252
7 27 1 828
7 28 0 253
7 28 1 829
7 29 0 254
7 29 1 830
7 30 0 255
7 30 1 831
7 31 0 256
7 31 1 832
8 0 0 257
8 0 1 833
8 1 0 258
8 1 1 834
8 2 0 259
8 2 1 835
8 3 0 260
8 3 1 836
8 4 0 261
8 4 1 837
8 5 0 262
8 5 1 838
8 6 0 263
8 6 1 839
8 7 0 264
8 7 1 840
8 8 0 265
8 8 1 841
8 9 0 266
8 9 1 842
8 10 0 267
8 10 1 843
8 11 0 268
8 11 1 844
8 12 0 269
8 12 1 845
8 13 0 270
8 13 1 846
8 14 0 271
8 14 1 847
8 15 0 272
8 15 1 848
8 16 0 273
8 16 1 849
8 17 0 274
8 17 1 850
8 18 0 275
8 18 1 851
8 19 0 276
8 19 1 852
8 20 0 277
8 20 1 853
8 21 0 278
8 21 1 854
8 22 0 279
8 22 1 855
8 23 0 280
8 23 1 856
8 24 0 281
8 24 1 857
8 25 0 282
8 25 1 858
8 26 0 283
8 26 1 859
8 27 0 284
8 27 1 860
8 28 0 285
8 28 1 861
8 29 0 286
8 29 1 862
8 30 0 287
8 30 1 863
8 31 0 288
8 31 1 864
9 0 0 289
9 0 1 865
9 1 0 290
9 1 1 866
9 2 0 291
9 2 1 867
9 3 0 292
9 3 1 868
9 4 0 293
9 4 1 869
9 5 0 294
9 5 1 870
9 6 0 295
9 6 1 871
9 7 0 296
9 7 1 872
9 8 0 297
9 8 1 873
9 9 0 298
9 9 1 874
9 10 0 299
9 10 1 875
9 11 0 300
9 11 1 876
9 12 0 301
9 12 1 877
9 13 0 302
9 13 1 878
9 14 0 303
9 14 1 879
9 15 0 304
9 15 1 880
9 16 0 305
9 16 1 881
9 17 0 306
9 17 1 882
9 18 0 307
9 18 1 883
9 19 0 308
9 19 1 884
9 20 0 309
9 20 1 885
9 21 0 310
9 21 1 886
9 22 0 311
9 22 1 887
9 23 0 312
9 23 1 888
9 24 0 313
9 24 1 889
9 25 0 314
9 25 1 890
9 26 0 315
9 26 1 891
9 27 0 316
9 27 1 892
9 28 0 317
9 28 1 893
9 29 0 318
9 29 1 894
9 30 0 319
9 30 1 895
9 31 0 320
9 31 1 896
10 0 0 321
10 0 1 897
10 1 0 322
10 1 1 898
10 2 0 323
10 2 1 899
10 3 0 324
10 3 1 900
10 4 0 325
10 4 1 901
10 5 0 326
10 5 1 902
10 6 0 327
10 6 1 903
10 7 0 328
10 7 1 904
10 8 0 329
10 8 1 905
10 9 0 330
10 9 1 906
10 10 0 331
10 10 1 907
10 11 0 332
10 11 1 908
10 12 0 333
10 12 1 909
10 13 0 334
10 13 1 910
10 14 0 335
10 14 1 911
10 15 0 336
10 15 1 912
10 16 0 337
10 16 1 913
10 17 0 338
10 17 1 914
10 18 0 339
10 18 1 915
10 19 0 340
10 19 1 916
10 20 0 341
10 20 1 917
10 21 0 342
10 21 1 918
10 22 0 343
10 22 1 919
10 23 0 344
10 23 1 920
10 24 0 345
10 24 1 921
10 25 0 346
10 25 1 922
10 26 0 347
10 26 1 923
10 27 0 348
10 27 1 924
10 28 0 349
10 28 1 925
10 29 0 350
10 29 1 926
10 30 0 351
10 30 1 927
10 31 0 352
10 31 1 928
11 0 0 353
11 0 1 929
11 1 0 354
11 1 1 930
11 2 0 355
11 2 1 931
11 3 0 356
11 3 1 932
11 4 0 357
11 4 1 933
11 5 0 358
11 5 1 934
11 6 0 359
11 6 1 935
11 7 0 360
11 7 1 936
11 8 0 361
11 8 1 937
11 9 0 362
11 9 1 938
11 10 0 363
11 10 1 939
11 11 0 364
11 11 1 940
11 12 0 365
11 12 1 941
11 13 0 366
11 13 1 942
11 14 0 367
11 14 1 943
11 15 0 368
11 15 1 944
11 16 0 369
11 16 1 945
11 17 0 370
11 17 1 946
11 18 0 371
11 18 1 947
11 19 0 372
11 19 1 948
11 20 0 373
11 20 1 949
11 21 0 374
11 21 1 950
11 22 0 375
11 22 1 951
11 23 0 376
11 23 1 952
11 24 0 377
11 24 1 953
11 25 0 378
11 25 1 954
11 26 0 379
11 26 1 955
11 27 0 380
11 27 1 956
11 28 0 381
11 28 1 957
11 29 0 382
11 29 1 958
11 30 0 383
11 30 1 959
11 31 0 384
11 31 1 960
12 0 0 385
12 0 1 961
12 1 0 386
12 1 1 962
12 2 0 387
12 2 1 963
12 3 0 388
12 3 1 964
12 4 0 389
12 4 1 965
12 5 0 390
12 5 1 966
12 6 0 391
12 6 1 967
12 7 0 392
12 7 1 968
12 8 0 393
12 8 1 969
12 9 0 394
12 9 1 970
12 10 0 395
12 10 1 971
12 11 0 396
12 11 1 972
12 12 0 397
12 12 1 973
12 13 0 398
12 13 1 974
12 14 0 399
12 14 1 975
12 15 0 400
12 15 1 976
12 16 0 401
12 16 1 977
12 17 0 402
12 17 1 978
12 18 0 403
12 18 1 979
12 19 0 404
12 19 1 980
12 20 0 405
12 20 1 981
12 21 0 406
12 21 1 982
12 22 0 407
12 22 1 983
12 23 0 408
12 23 1 984
12 24 0 409
12 24 1 985
12 25 0 410
12 25 1 986
12 26 0 411
12 26 1 987
12 27 0 412
12 27 1 988
12 28 0 413
12 28 1 989
12 29 0 414
12 29 1 990
12 30 0 415
12 30 1 991
12 31 0 416
12 31 1 992
13 0 0 417
13 0 1 993
13 1 0 418
13 1 1 994
13 2 0 419
13 2 1 995
13 3 0 420
13 3 1 996
13 4 0 421
13 4 1 997
13 5 0 422
13 5 1 998
13 6 0 423
13 6 1 999
13 7 0 424
13 7 1 1000
13 8 0 425
13 8 1 1001
13 9 0 426
13 9 1 1002
13 10 0 427
13 10 1 1003
13 11 0 428
13 11 1 1004
13 12 0 429
13 12 1 1005
13 13 0 430
13 13 1 1006
13 14 0 431
13 14 1 1007
13 15 0 432
13 15 1 1008
13 16 0 433
13 16 1 1009
13 17 0 434
13 17 1 1010
13 18 0 435
13 18 1 1011
13 19 0 436
13 19 1 1012
13 20 0 437
13 20 1 1013
13 21 0 438
13 21 1 1014
13 22 0 439
13 22 1 1015
13 23 0 440
13 23 1 1016
13 24 0 441
13 24 1 1017
13 25 0 442
13 25 1 1018
13 26 0 443
13 26 1 1019
13 27 0 444
13 27 1 1020
13 28 0 445
13 28 1 1021
13 29 0 446
13 29 1 1022
13 30 0 447
13 30 1 1023
13 31 0 448
13 31 1 1024
14 0 0 449
14 0 1 1025
14 1 0 450
14 1 1 1026
14 2 0 451
14 2 1 1027
14 3 0 452
14 3 1 1028
14 4 0 453
14 4 1 1029
14 5 0 454
14 5 1 1030
14 6 0 455
14 6 1 1031
14 7 0 456
14 7 1 1032
14 8 0 457
14 8 1 1033
14 9 0 458
14 9 1 1034
14 10 0 459
14 10 1 1035
14 11 0 460
14 11 1 1036
14 12 0 461
14 12 1 1037
14 13 0 462
14 13 1 1038
14 14 0 463
14 14 1 1039
14 15 0 464
14 15 1 1040
14 16 0 465
14 16 1 1041
14 17 0 466
14 17 1 1042
14 18 0 467
14 18 1 1043
14 19 0 468
14 19 1 1044
14 20 0 469
14 20 1 1045
14 21 0 470
14 21 1 1046
14 22 0 471
14 22 1 1047
14 23 0 472
14 23 1 1048
14 24 0 473
14 24 1 1049
14 25 0 474
14 25 1 1050
14 26 0 475
14 26 1 1051
14 27 0 476
14 27 1 1052
14 28 0 477
14 28 1 1053
14 29 0 478
14 29 1 1054
14 30 0 479
14 30 1 1055
14 31 0 480
14 31 1 1056
15 0 0 481
15 0 1 1057
15 1 0 482
15 1 1 1058
15 2 0 483
15 2 1 1059
15 3 0 484
15 3 1 1060
15 4 0 485
15 4 1 1061
15 5 0 486
15 5 1 1062
15 6 0 487
15 6 1 1063
15 7 0 488
15 7 1 1064
15 8 0 489
15 8 1 1065
15 9 0 490
15 9 1 1066
15 10 0 491
15 10 1 1067
15 11 0 492
15 11 1 1068
15 12 0 493
15 12 1 1069
15 13 0 494
15 13 1 1070
15 14 0 495
15 14 1 1071
15 15 0 496
15 15 1 1072
15 16 0 497
15 16 1 1073
15 17 0 498
15 17 1 1074
15 18 0 499
15 18 1 1075
15 19 0 500
15 19 1 1076
15 20 0 501
15 20 1 1077
15 21 0 502
15 21 1 1078
15 22 0 503
15 22 1 1079
15 23 0 504
15 23 1 1080
15 24 0 505
15 24 1 1081
15 25 0 506
15 25 1 1082
15 26 0 507
15 26 1 1083
15 27 0 508
15 27 1 1084
15 28 0 509
15 28 1 1085
15 29 0 510
15 29 1 1086
15 30 0 511
15 30 1 1087
15 31 0 512
15 31 1 1088
16 0 0 513
16 0 1 1089
16 1 0 514
16 1 1 1090
16 2 0 515
16 2 1 1091
16 3 0 516
16 3 1 1092
16 4 0 517
16 4 1 1093
16 5 0 518
16 5 1 1094
16 6 0 519
16 6 1 1095
16 7 0 520
16 7 1 1096
16 8 0 521
16 8 1 1097
16 9 0 522
16 9 1 1098
16 10 0 523
16 10 1 1099
16 11 0 524
16 11 1 1100
16 12 0 525
16 12 1 1101
16 13 0 526
