############################################################
# group name of the Green's Function layer : bottom
# total number of atoms in the GF layer    : 288
# dimension of the system                  : 3 D
# number of atoms per unit surface cell    : 2
# dimension of the FFT mesh                : 9 x 16
# atomic tag of the surface origin         : 5473
# number of wait steps before measurement  : 5000000
# frequency of GFC measurement             : 20
# output result after this many measurement: 250000
# number of processors used by this run    : 4
############################################################
# Surface vectors: [ 4.42745, 0 ] [ 0, 2.55619 ]
# mapping information between FFT mesh and atom id
# nx ny nucell
9 16 2
# ix iy iu atom_id
0 0 0 0 5.28283 0 0.00597505 0 -0.23242 0 -5.25029 0 0.0110924 0 0.236194 0 0.00597505 0 1.77538 0 0.0171104 0 0.0112939 0 -1.7264 0 -0.0159979 0 -0.23242 0 0.0171104 0 1.77175 0 0.232609 0 -0.0172911 0 -1.42055 0 -5.25029 0 0.0112939 0 0.232609 0 5.28268 0 0.00623354 0 -0.236364 0 0.0110924 0 -1.7264 0 -0.0172911 0 0.00623354 0 1.77501 0 0.0159922 0 0.236194 0 -0.0159979 0 -1.42055 0 -0.236364 0 0.0159922 0 1.7698 0
0 1 0 0.392699 5.39414 1.31839e-15 0.00229142 -0.0777881 -0.197163 0.00170839 -5.02217 0.998102 0.00827703 0.0450272 0.240827 -0.0507451 0.00229142 0.0777881 2.21902 5.53404e-17 0.000526666 0.0320949 -0.0108948 -0.0454536 -1.56761 0.311963 0.00983698 0.0603394 -0.197163 -0.00170839 0.000526666 -0.0320949 1.78584 -8.71198e-19 0.243056 -0.0453419 -0.0125265 -0.0618757 -1.32815 0.264311 -5.02217 -0.998102 -0.0108948 0.0454536 0.243056 0.0453419 5.39412 1.22372e-15 0.00112153 -0.0777997 -0.196936 0.00432648 0.00827703 -0.0450272 -1.56761 -0.311963 -0.0125265 0.0618757 0.00112153 0.0777997 2.2165 3.40177e-17 0.00308224 0.0306086 0.240827 0.0507451 0.00983698 -0.0603394 -1.32815 -0.264311 -0.196936 -0.00432648 0.00308224 -0.0306086 1.787 3.01961e-18
0 2 0 0.785398 5.5743 -5.38386e-19 -0.00178894 -0.114636 -0.107213 -0.00411213 -4.50754 1.86664 0.0390461 0.0875423 0.215436 -0.087234 -0.00178894 0.114636 3.05531 -3.44789e-17 -0.000967109 0.0504624 -0.0310919 -0.0878285 -1.34313 0.559873 0.0308705 0.0781394 -0.107213 0.00411213 -0.000967109 -0.0504624 2.06026 1.8914e-18 0.21412 -0.0896256 -0.0406554 -0.0712335 -1.12105 0.465237 -4.50754 -1.86664 -0.0310919 0.0878285 0.21412 0.0896256 5.57598 3.53772e-18 -6.51793e-05 -0.118913 -0.105637 0.000580677 0.0390461 -0.0875423 -1.34313 -0.559873 -0.0406554 0.0712335 -6.51793e-05 0.118913 3.05904 5.30711e-17 0.0106826 0.0484875 0.215436 0.087234 0.0308705 -0.0781394 -1.12105 -0.465237 -0.105637 -0.000580677 0.0106826 -0.0484875 2.06074 4.88088e-17
0 3 0 1.1781 5.43389 -2.07334e-17 0.00140154 -0.163997 -0.0394814 0.00448074 -3.47322 2.32599 0.0834945 0.128273 0.195179 -0.126173 0.00140154 0.163997 4.27053 -4.81226e-19 0.0228841 0.0587515 -0.100064 -0.143397 -1.04679 0.700548 0.0328087 0.0785574 -0.0394814 -0.00448074 0.0228841 -0.0587515 2.28342 1.95474e-18 0.199876 -0.127092 -0.0479037 -0.0964507 -0.787254 0.52821 -3.47322 -2.32599 -0.100064 0.143397 0.199876 0.127092 5.43475 -2.6983e-16 -0.000293958 -0.150611 -0.034363 0.000448731 0.0834945 -0.128273 -1.04679 -0.700548 -0.0479037 0.0964507 -0.000293958 0.150611 4.29361 2.6069e-17 -0.0224977 0.0454404 0.195179 0.126173 0.0328087 -0.0785574 -0.787254 -0.52821 -0.034363 -0.000448731 -0.0224977 -0.0454404 2.27297 6.63649e-19
0 4 0 1.5708 5.49164 8.13064e-21 0.00344382 -0.142139 0.0198552 0.00204473 -2.5742 2.57049 0.123848 0.123794 0.144316 -0.141694 0.00344382 0.142139 5.65376 -2.87467e-19 0.00295133 0.0832872 -0.117793 -0.109707 -0.716163 0.693574 0.0353135 0.04665 0.0198552 -0.00204473 0.00295133 -0.0832872 2.46972 -1.14065e-20 0.144452 -0.136157 -0.0442376 -0.0358174 -0.482747 0.490836 -2.5742 -2.57049 -0.117793 0.109707 0.144452 0.136157 5.4855 1.6739e-18 -0.00294115 -0.15556 0.0238127 -0.000207506 0.123848 -0.123794 -0.716163 -0.693574 -0.0442376 0.0358174 -0.00294115 0.15556 5.60567 -3.56394e-20 -0.0019333 0.070733 0.144316 0.141694 0.0353135 -0.04665 -0.482747 -0.490836 0.0238127 0.000207506 -0.0019333 -0.070733 2.46653 -7.46606e-19
0 5 0 1.9635 5.43077 1.34556e-16 0.0118483 -0.114806 0.125748 0.0068899 -1.55063 2.32106 0.166933 0.100963 0.0909232 -0.144245 0.0118483 0.114806 6.76994 9.90807e-22 -0.00474169 0.0506562 -0.177481 -0.0977946 -0.363784 0.611064 0.0463671 0.0325391 0.125748 -0.0068899 -0.00474169 -0.0506562 2.69632 -7.9555e-18 0.0833046 -0.141521 -0.0354893 -0.0268752 -0.313367 0.463623 -1.55063 -2.32106 -0.177481 0.0977946 0.0833046 0.141521 5.43368 -4.04028e-18 -0.0127974 -0.101337 0.117987 -0.008094 0.166933 -0.100963 -0.363784 -0.611064 -0.0354893 0.0268752 -0.0127974 0.101337 6.76366 4.77425e-18 0.00682374 0.0690496 0.0909232 0.144245 0.0463671 -0.0325391 -0.313367 -0.463623 0.117987 0.008094 0.00682374 -0.0690496 2.71877 -9.92498e-18
0 6 0 2.35619 5.68383 -1.77836e-19 0.0358857 -0.128693 0.227099 0.000584327 -0.759348 1.85106 0.313545 0.0619037 0.0463162 -0.101842 0.0358857 0.128693 7.93994 -6.51304e-19 0.00337998 0.0227817 -0.26715 -0.0922025 -0.236906 0.461964 0.0332497 0.0145898 0.227099 -0.000584327 0.00337998 -0.0227817 2.895 -4.07522e-19 0.0550749 -0.109547 -0.0502312 -0.0135892 -0.112705 0.278596 -0.759348 -1.85106 -0.26715 0.0922025 0.0550749 0.109547 5.67614 -1.13043e-18 -0.0723728 -0.158506 0.206992 -0.0069725 0.313545 -0.0619037 -0.236906 -0.461964 -0.0502312 0.0135892 -0.0723728 0.158506 7.95052 -3.06096e-19 0.00701841 0.0268721 0.0463162 0.101842 0.0332497 -0.0145898 -0.112705 -0.278596 0.206992 0.0069725 0.00701841 -0.0268721 2.87739 -2.32277e-19
0 7 0 2.74889 5.63401 1.20597e-19 0.013952 -0.0727623 0.242696 0.0052792 -0.23194 1.09818 0.329137 0.0609017 -0.00421603 -0.0125704 0.013952 0.0727623 8.684 1.13839e-20 -0.00650775 0.000433125 -0.355192 -0.0303677 -0.0363251 0.303018 0.0239863 0.00427548 0.242696 -0.0052792 -0.00650775 -0.000433125 3.06692 1.6332e-20 0.000123815 -0.0213095 -0.0317649 -0.00398884 -0.00986328 0.119833 -0.23194 -1.09818 -0.355192 0.0303677 0.000123815 0.0213095 5.56419 1.32781e-19 -0.0217363 -0.120916 0.21199 -0.00204678 0.329137 -0.0609017 -0.0363251 -0.303018 -0.0317649 0.00398884 -0.0217363 0.120916 8.72887 -4.08495e-19 0.00525883 -0.000620698 -0.00421603 0.0125704 0.0239863 -0.00427548 -0.00986328 -0.119833 0.21199 0.00204678 0.00525883 0.000620698 3.04919 -7.09664e-20
0 8 0 3.14159 5.51085 0 -0.0185317 0 0.235181 0 0.00761921 0 0.250282 0 0.0114179 0 -0.0185317 0 8.90318 0 0.0129796 0 -0.235002 0 -0.0993672 0 0.0518366 0 0.235181 0 0.0129796 0 3.2805 0 0.0151533 0 -0.029229 0 -0.0669314 0 0.00761921 0 -0.235002 0 0.0151533 0 5.36558 0 -0.000754175 0 0.262202 0 0.250282 0 -0.0993672 0 -0.029229 0 -0.000754175 0 8.87169 0 -0.0257642 0 0.0114179 0 0.0518366 0 -0.0669314 0 0.262202 0 -0.0257642 0 3.07468 0
0 9 0 -2.74889 5.63401 -1.20597e-19 0.013952 0.0727623 0.242696 -0.0052792 -0.23194 -1.09818 0.329137 -0.0609017 -0.00421603 0.0125704 0.013952 -0.0727623 8.684 -1.13839e-20 -0.00650775 -0.000433125 -0.355192 0.0303677 -0.0363251 -0.303018 0.0239863 -0.00427548 0.242696 0.0052792 -0.00650775 0.000433125 3.06692 -1.6332e-20 0.000123815 0.0213095 -0.0317649 0.00398884 -0.00986328 -0.119833 -0.23194 1.09818 -0.355192 -0.0303677 0.000123815 -0.0213095 5.56419 -1.32781e-19 -0.0217363 0.120916 0.21199 0.00204678 0.329137 0.0609017 -0.0363251 0.303018 -0.0317649 -0.00398884 -0.0217363 -0.120916 8.72887 4.08495e-19 0.00525883 0.000620698 -0.00421603 -0.0125704 0.0239863 0.00427548 -0.00986328 0.119833 0.21199 -0.00204678 0.00525883 -0.000620698 3.04919 7.09664e-20
